cts,GPS (Lat.) [deg],GPS (Long.) [deg]
6830,30.29761642,120.0767875
6840,30.2976164,120.0767875
6850,30.29761642,120.0767875
6860,30.29761644,120.0767875
6870,30.29761645,120.0767874
6880,30.29761647,120.0767874
6890,30.29761652,120.0767874
6900,30.29761648,120.0767874
6910,30.29761645,120.0767874
6920,30.29761641,120.0767874
6930,30.29761638,120.0767873
6940,30.29761634,120.0767873
6950,30.2976163,120.0767873
6960,30.29761628,120.0767873
6970,30.29761627,120.0767873
6980,30.29761625,120.0767872
6990,30.29761623,120.0767872
7000,30.29761623,120.0767872
7010,30.29761619,120.0767872
7020,30.29761615,120.0767872
7030,30.29761611,120.0767872
7040,30.29761607,120.0767871
7050,30.297616,120.0767871
7060,30.297616,120.0767871
7070,30.297616,120.0767871
7080,30.297616,120.0767871
7090,30.297616,120.076787
7100,30.297616,120.076787
7110,30.297616,120.076787
7120,30.29761599,120.076787
7130,30.29761597,120.076787
7140,30.29761595,120.076787
7150,30.29761593,120.076787
7160,30.2976159,120.076787
7170,30.2976159,120.076787
7180,30.2976159,120.076787
7190,30.2976159,120.076787
7200,30.2976159,120.076787
7210,30.29761591,120.076787
7220,30.2976159,120.076787
7230,30.29761588,120.076787
7240,30.29761586,120.076787
7250,30.29761584,120.076787
7260,30.29761582,120.076787
7270,30.2976158,120.076787
7280,30.2976158,120.076787
7290,30.2976158,120.076787
7300,30.2976158,120.076787
7310,30.2976158,120.076787
7320,30.2976158,120.076787
7330,30.2976158,120.076787
7340,30.2976158,120.076787
7350,30.2976158,120.0767869
7360,30.2976158,120.0767869
7370,30.2976158,120.0767869
7380,30.2976158,120.0767869
7390,30.2976158,120.0767869
7400,30.2976158,120.0767869
7410,30.2976158,120.0767869
7420,30.2976158,120.0767869
7430,30.2976158,120.0767869
7440,30.2976158,120.0767869
7450,30.2976158,120.0767869
7460,30.2976158,120.0767869
7470,30.2976158,120.0767869
7480,30.2976158,120.0767869
7490,30.2976158,120.0767869
7500,30.2976158,120.0767869
7510,30.2976158,120.076787
7520,30.2976158,120.076787
7530,30.29761581,120.076787
7540,30.29761578,120.076787
7550,30.29761574,120.0767869
7560,30.2976157,120.0767869
7570,30.29761566,120.0767869
7580,30.2976156,120.0767868
7590,30.2976156,120.0767868
7600,30.2976156,120.0767868
7610,30.2976156,120.0767868
7620,30.2976156,120.0767868
7630,30.29761562,120.0767868
7640,30.2976156,120.0767868
7650,30.29761558,120.0767868
7660,30.29761556,120.0767868
7670,30.29761554,120.0767867
7680,30.29761552,120.0767867
7690,30.2976155,120.0767867
7700,30.29761552,120.0767867
7710,30.29761553,120.0767867
7720,30.29761555,120.0767868
7730,30.29761557,120.0767868
7740,30.2976156,120.0767868
7750,30.2976156,120.0767868
7760,30.2976156,120.0767868
7770,30.2976156,120.0767868
7780,30.2976156,120.0767867
7790,30.29761561,120.0767867
7800,30.29761559,120.0767867
7810,30.29761558,120.0767867
7820,30.29761556,120.0767867
7830,30.29761554,120.0767866
7840,30.29761552,120.0767866
7850,30.2976155,120.0767866
7860,30.29761548,120.0767866
7870,30.29761546,120.0767866
7880,30.29761544,120.0767867
7890,30.29761542,120.0767867
7900,30.2976154,120.0767867
7910,30.29761539,120.0767867
7920,30.29761537,120.0767867
7930,30.29761535,120.0767867
7940,30.29761533,120.0767867
7950,30.29761531,120.0767867
7960,30.29761529,120.0767867
7970,30.29761527,120.0767867
7980,30.29761525,120.0767867
7990,30.29761523,120.0767867
8000,30.29761519,120.0767867
8010,30.2976152,120.0767867
8020,30.29761522,120.0767867
8030,30.29761524,120.0767867
8040,30.29761526,120.0767866
8050,30.29761528,120.0767866
8060,30.2976153,120.0767866
8070,30.2976153,120.0767866
8080,30.2976153,120.0767866
8090,30.2976153,120.0767866
8100,30.2976153,120.0767866
8110,30.29761532,120.0767866
8120,30.2976153,120.0767866
8130,30.29761528,120.0767866
8140,30.29761526,120.0767866
8150,30.29761524,120.0767866
8160,30.29761523,120.0767866
8170,30.29761521,120.0767866
8180,30.29761519,120.0767866
8190,30.29761517,120.0767866
8200,30.29761515,120.0767866
8210,30.29761514,120.0767865
8220,30.29761512,120.0767865
8230,30.2976151,120.0767865
8240,30.29761508,120.0767865
8250,30.29761506,120.0767865
8260,30.29761505,120.0767864
8270,30.29761503,120.0767864
8280,30.29761501,120.0767864
8290,30.29761499,120.0767864
8300,30.29761497,120.0767864
8310,30.29761496,120.0767864
8320,30.29761494,120.0767865
8330,30.29761492,120.0767865
8340,30.2976149,120.0767865
8350,30.2976149,120.0767865
8360,30.2976149,120.0767865
8370,30.2976149,120.0767866
8380,30.2976149,120.0767866
8390,30.29761493,120.0767866
8400,30.29761489,120.0767866
8410,30.29761485,120.0767866
8420,30.29761482,120.0767866
8430,30.29761478,120.0767865
8440,30.29761475,120.0767865
8450,30.2976147,120.0767865
8460,30.2976147,120.0767865
8470,30.2976147,120.0767865
8480,30.2976147,120.0767865
8490,30.2976147,120.0767864
8500,30.2976147,120.0767864
8510,30.2976147,120.0767864
8520,30.2976147,120.0767864
8530,30.2976147,120.0767864
8540,30.2976147,120.0767864
8550,30.2976147,120.0767864
8560,30.29761471,120.0767864
8570,30.29761468,120.0767864
8580,30.29761464,120.0767864
8590,30.29761461,120.0767864
8600,30.29761457,120.0767864
8610,30.29761452,120.0767864
8620,30.2976145,120.0767864
8630,30.29761448,120.0767864
8640,30.29761446,120.0767864
8650,30.29761445,120.0767865
8660,30.29761443,120.0767865
8670,30.29761438,120.0767865
8680,30.29761442,120.0767865
8690,30.29761445,120.0767865
8700,30.29761449,120.0767865
8710,30.29761452,120.0767866
8720,30.29761456,120.0767866
8730,30.2976146,120.0767866
8740,30.2976146,120.0767866
8750,30.2976146,120.0767866
8760,30.2976146,120.0767866
8770,30.2976146,120.0767866
8780,30.29761462,120.0767866
8790,30.29761459,120.0767866
8800,30.29761455,120.0767866
8810,30.29761452,120.0767866
8820,30.29761448,120.0767866
8830,30.29761444,120.0767866
8840,30.2976144,120.0767866
8850,30.29761439,120.0767866
8860,30.29761437,120.0767866
8870,30.29761435,120.0767865
8880,30.29761433,120.0767865
8890,30.29761429,120.0767865
8900,30.2976143,120.0767865
8910,30.29761432,120.0767865
8920,30.29761434,120.0767865
8930,30.29761436,120.0767865
8940,30.29761438,120.0767865
8950,30.29761439,120.0767865
8960,30.29761441,120.0767865
8970,30.29761443,120.0767865
8980,30.29761445,120.0767865
8990,30.29761447,120.0767864
9000,30.29761452,120.0767864
9010,30.2976145,120.0767864
9020,30.29761448,120.0767864
9030,30.29761446,120.0767864
9040,30.29761444,120.0767864
9050,30.29761443,120.0767864
9060,30.2976144,120.0767864
9070,30.2976144,120.0767864
9080,30.2976144,120.0767864
9090,30.2976144,120.0767864
9100,30.2976144,120.0767864
9110,30.2976144,120.0767864
9120,30.2976144,120.0767864
9130,30.2976144,120.0767864
9140,30.2976144,120.0767864
9150,30.2976144,120.0767863
9160,30.2976144,120.0767863
9170,30.2976144,120.0767863
9180,30.2976144,120.0767863
9190,30.2976144,120.0767863
9200,30.2976144,120.0767863
9210,30.2976144,120.0767863
9220,30.2976144,120.0767863
9230,30.2976144,120.0767863
9240,30.2976144,120.0767863
9250,30.2976144,120.0767863
9260,30.2976144,120.0767864
9270,30.2976144,120.0767864
9280,30.29761441,120.0767864
9290,30.29761439,120.0767864
9300,30.29761438,120.0767864
9310,30.29761436,120.0767864
9320,30.29761434,120.0767863
9330,30.29761432,120.0767863
9340,30.2976143,120.0767863
9350,30.29761429,120.0767863
9360,30.29761427,120.0767863
9370,30.29761425,120.0767863
